"","Time","Temperature","Dew.Point","Humidity","Wind","Speed","Gust","Pressure","Precip..Rate.","Precip..Accum.","Solar"
"43","11:14 AM",95.5,60,31,"East ",0,3,29.84,0,0,844
"44","11:29 AM",97.4,60,29,"WSW ",5,7,29.83,0,0,865
"45","11:44 AM",98.3,60,28,"NNW ",1,5,29.83,0,0,879
"46","11:59 AM",98.5,61,29,"WNW ",1,5,29.82,0,0,888
"47","12:14 PM",98.3,59,27,"NNW ",0,8,29.82,0,0,896
"48","12:29 PM",100.2,60,26,"West ",2,10,29.81,0,0,896
"49","12:44 PM",100.3,60,26,"West ",6,9,29.8,0,0,900
"50","12:59 PM",100.6,58,24,"West ",0,7,29.79,0,0,898
"51","1:14 PM",100.6,59,25,"West ",0,9,29.79,0,0,891
"52","1:29 PM",101.4,58,24,"NW ",6,12,29.78,0,0,877
"53","1:44 PM",101.1,59,25,"WNW ",4,7,29.78,0,0,861
"54","1:59 PM",100.1,60,26,"West ",0,8,29.77,0,0,846
"55","2:14 PM",101.3,60,25,"West ",9,11,29.76,0,0,821
"56","2:29 PM",102.5,59,24,"WSW ",9,13,29.76,0,0,791
"57","2:44 PM",102.5,59,24,"WSW ",9,12,29.75,0,0,761
"58","2:59 PM",102,59,24,"NW ",0,10,29.75,0,0,726
"59","3:14 PM",102.1,59,24,"West ",3,10,29.75,0,0,689
"60","3:29 PM",102.9,59,23,"West ",12,12,29.74,0,0,657
"61","3:45 PM",101.9,58,23,"SW ",2,10,29.74,0,0,628
"62","4:00 PM",102.2,58,23,"West ",10,12,29.74,0,0,589
"63","4:30 PM",102.5,58,23,"West ",9,11,29.73,0,0,501
"64","4:45 PM",101.7,58,23,"NW ",0,12,29.73,0,0,439
"65","5:00 PM",101.4,57,23,"SW ",4,9,29.73,0,0,394
"66","5:15 PM",101.4,57,23,"West ",8,8,29.73,0,0,353
"67","5:30 PM",101,56,22,"NW ",0,6,29.73,0,0,311
"68","5:45 PM",100.7,55,22,"WNW ",1,10,29.72,0,0,260
"69","6:00 PM",100.1,55,22,"West ",4,11,29.71,0,0,183
"70","6:15 PM",99.2,55,23,"WNW ",0,9,29.72,0,0,39
"71","6:30 PM",98.4,56,24,"West ",3,7,29.72,0,0,67
"72","6:45 PM",97.3,55,24,"West ",0,6,29.71,0,0,30
"73","7:00 PM",95.9,56,26,"West ",0,0,29.71,0,0,12
"74","7:15 PM",93.2,58,31,"West ",0,0,29.72,0,0,5
"75","7:45 PM",92,60,34,"South ",3,8,29.74,0,0,0
"76","8:00 PM",92.9,61,34,"South ",6,9,29.75,0,0,0
"77","8:30 PM",91.9,62,37,"SSW ",7,9,29.76,0,0,0
"78","8:45 PM",91.7,62,37,"South ",0,7,29.77,0,0,0
"79","9:00 PM",90.3,62,39,"NNE ",5,6,29.77,0,0,0
"80","9:15 PM",90.7,62,39,"NNE ",0,6,29.79,0,0,0
"81","9:30 PM",91.2,61,37,"WNW ",0,3,29.79,0,0,0
"82","9:45 PM",89.8,62,40,"NNW ",2,3,29.8,0,0,0
"83","10:00 PM",89.4,63,41,"NE ",0,0,29.8,0,0,0
"84","10:15 PM",87.6,64,45,"NNW ",0,0,29.8,0,0,0
"85","10:45 PM",87.1,64,47,"SW ",0,0,29.79,0,0,0
"86","11:00 PM",86.6,65,48,"SW ",0,0,29.8,0,0,0
"87","11:15 PM",87.4,64,46,"SW ",2,2,29.81,0,0,0
"88","11:30 PM",87,64,47,"SW ",0,0,29.81,0,0,0
"89","11:45 PM",87.2,64,46,"SW ",0,4,29.8,0,0,0
